TimeStamp,ps_idx,Capacity,Occupancy,Occupancy_Rate,Longitude,Latitude,Date,DayOfWeek,isWeekend,Time,Hour,Minute
2016-10-04 16:30:00,1,577.0,143.0,24.7834,-1.891063,52.475741,2016-10-04,1,False,16:30,16,30
2016-10-05 08:00:00,1,577.0,54.0,9.3588,-1.891063,52.475741,2016-10-05,2,False,08:00,8,0
2016-10-05 08:30:00,1,577.0,59.0,10.2253,-1.891063,52.475741,2016-10-05,2,False,08:30,8,30
2016-10-05 09:00:00,1,577.0,71.0,12.305,-1.891063,52.475741,2016-10-05,2,False,09:00,9,0
2016-10-05 09:30:00,1,577.0,83.0,14.3847,-1.891063,52.475741,2016-10-05,2,False,09:30,9,30
2016-10-05 10:00:00,1,577.0,114.0,19.7574,-1.891063,52.475741,2016-10-05,2,False,10:00,10,0
2016-10-05 10:30:00,1,577.0,128.0,22.1837,-1.891063,52.475741,2016-10-05,2,False,10:30,10,30
2016-10-05 11:00:00,1,577.0,148.0,25.6499,-1.891063,52.475741,2016-10-05,2,False,11:00,11,0
2016-10-05 11:30:00,1,577.0,162.0,28.0763,-1.891063,52.475741,2016-10-05,2,False,11:30,11,30
2016-10-05 12:00:00,1,577.0,178.0,30.8492,-1.891063,52.475741,2016-10-05,2,False,12:00,12,0
2016-10-05 12:30:00,1,577.0,183.0,31.7158,-1.891063,52.475741,2016-10-05,2,False,12:30,12,30
2016-10-05 13:00:00,1,577.0,175.0,30.3293,-1.891063,52.475741,2016-10-05,2,False,13:00,13,0
2016-10-05 13:30:00,1,577.0,179.0,31.0225,-1.891063,52.475741,2016-10-05,2,False,13:30,13,30
2016-10-05 14:00:00,1,577.0,174.0,30.156,-1.891063,52.475741,2016-10-05,2,False,14:00,14,0
2016-10-05 14:30:00,1,577.0,158.0,27.383,-1.891063,52.475741,2016-10-05,2,False,14:30,14,30
2016-10-05 15:00:00,1,577.0,145.0,25.13,-1.891063,52.475741,2016-10-05,2,False,15:00,15,0
2016-10-05 15:30:00,1,577.0,129.0,22.357,-1.891063,52.475741,2016-10-05,2,False,15:30,15,30
2016-10-05 16:00:00,1,577.0,121.0,20.9705,-1.891063,52.475741,2016-10-05,2,False,16:00,16,0
2016-10-05 16:30:00,1,577.0,114.0,19.7574,-1.891063,52.475741,2016-10-05,2,False,16:30,16,30
2016-10-06 08:00:00,1,577.0,58.0,10.052,-1.891063,52.475741,2016-10-06,3,False,08:00,8,0
2016-10-06 08:30:00,1,577.0,63.0,10.9185,-1.891063,52.475741,2016-10-06,3,False,08:30,8,30
2016-10-06 09:00:00,1,577.0,70.0,12.1317,-1.891063,52.475741,2016-10-06,3,False,09:00,9,0
2016-10-06 09:30:00,1,577.0,95.0,16.4645,-1.891063,52.475741,2016-10-06,3,False,09:30,9,30
2016-10-06 10:00:00,1,577.0,135.0,23.3969,-1.891063,52.475741,2016-10-06,3,False,10:00,10,0
2016-10-06 10:30:00,1,577.0,160.0,27.7296,-1.891063,52.475741,2016-10-06,3,False,10:30,10,30
2016-10-06 11:00:00,1,577.0,177.0,30.6759,-1.891063,52.475741,2016-10-06,3,False,11:00,11,0
2016-10-06 11:30:00,1,577.0,191.0,33.1023,-1.891063,52.475741,2016-10-06,3,False,11:30,11,30
2016-10-06 12:00:00,1,577.0,199.0,34.4887,-1.891063,52.475741,2016-10-06,3,False,12:00,12,0
2016-10-06 12:30:00,1,577.0,206.0,35.7019,-1.891063,52.475741,2016-10-06,3,False,12:30,12,30
2016-10-06 13:00:00,1,577.0,198.0,34.3154,-1.891063,52.475741,2016-10-06,3,False,13:00,13,0
2016-10-06 13:30:00,1,577.0,208.0,36.0485,-1.891063,52.475741,2016-10-06,3,False,13:30,13,30
2016-10-06 14:00:00,1,577.0,200.0,34.662,-1.891063,52.475741,2016-10-06,3,False,14:00,14,0
2016-10-06 14:30:00,1,577.0,175.0,30.3293,-1.891063,52.475741,2016-10-06,3,False,14:30,14,30
2016-10-06 15:00:00,1,577.0,158.0,27.383,-1.891063,52.475741,2016-10-06,3,False,15:00,15,0
2016-10-06 15:30:00,1,577.0,153.0,26.5165,-1.891063,52.475741,2016-10-06,3,False,15:30,15,30
2016-10-06 16:00:00,1,577.0,135.0,23.3969,-1.891063,52.475741,2016-10-06,3,False,16:00,16,0
2016-10-06 16:30:00,1,577.0,129.0,22.357,-1.891063,52.475741,2016-10-06,3,False,16:30,16,30
2016-10-07 08:00:00,1,577.0,58.0,10.052,-1.891063,52.475741,2016-10-07,4,False,08:00,8,0
2016-10-07 08:30:00,1,577.0,61.0,10.5719,-1.891063,52.475741,2016-10-07,4,False,08:30,8,30
2016-10-07 09:00:00,1,577.0,75.0,12.9983,-1.891063,52.475741,2016-10-07,4,False,09:00,9,0
2016-10-07 09:30:00,1,577.0,103.0,17.851,-1.891063,52.475741,2016-10-07,4,False,09:30,9,30
2016-10-07 10:00:00,1,577.0,128.0,22.1837,-1.891063,52.475741,2016-10-07,4,False,10:00,10,0
2016-10-07 10:30:00,1,577.0,172.0,29.8094,-1.891063,52.475741,2016-10-07,4,False,10:30,10,30
2016-10-07 11:00:00,1,577.0,188.0,32.5823,-1.891063,52.475741,2016-10-07,4,False,11:00,11,0
2016-10-07 11:30:00,1,577.0,199.0,34.4887,-1.891063,52.475741,2016-10-07,4,False,11:30,11,30
2016-10-07 12:00:00,1,577.0,210.0,36.3951,-1.891063,52.475741,2016-10-07,4,False,12:00,12,0
2016-10-07 12:30:00,1,577.0,206.0,35.7019,-1.891063,52.475741,2016-10-07,4,False,12:30,12,30
2016-10-07 13:00:00,1,577.0,200.0,34.662,-1.891063,52.475741,2016-10-07,4,False,13:00,13,0
2016-10-07 13:30:00,1,577.0,201.0,34.8354,-1.891063,52.475741,2016-10-07,4,False,13:30,13,30
2016-10-07 14:00:00,1,577.0,193.0,33.4489,-1.891063,52.475741,2016-10-07,4,False,14:00,14,0
2016-10-07 14:30:00,1,577.0,181.0,31.3692,-1.891063,52.475741,2016-10-07,4,False,14:30,14,30
2016-10-07 15:00:00,1,577.0,172.0,29.8094,-1.891063,52.475741,2016-10-07,4,False,15:00,15,0
2016-10-07 15:30:00,1,577.0,159.0,27.5563,-1.891063,52.475741,2016-10-07,4,False,15:30,15,30
2016-10-07 16:00:00,1,577.0,158.0,27.383,-1.891063,52.475741,2016-10-07,4,False,16:00,16,0
2016-10-07 16:30:00,1,577.0,132.0,22.8769,-1.891063,52.475741,2016-10-07,4,False,16:30,16,30
2016-10-08 08:00:00,1,577.0,58.0,10.052,-1.891063,52.475741,2016-10-08,5,True,08:00,8,0
2016-10-08 08:30:00,1,577.0,61.0,10.5719,-1.891063,52.475741,2016-10-08,5,True,08:30,8,30
2016-10-08 09:00:00,1,577.0,75.0,12.9983,-1.891063,52.475741,2016-10-08,5,True,09:00,9,0
2016-10-08 09:30:00,1,577.0,104.0,18.0243,-1.891063,52.475741,2016-10-08,5,True,09:30,9,30
2016-10-08 10:00:00,1,577.0,158.0,27.383,-1.891063,52.475741,2016-10-08,5,True,10:00,10,0
2016-10-08 10:30:00,1,577.0,191.0,33.1023,-1.891063,52.475741,2016-10-08,5,True,10:30,10,30
2016-10-08 11:00:00,1,577.0,223.0,38.6482,-1.891063,52.475741,2016-10-08,5,True,11:00,11,0
2016-10-08 11:30:00,1,577.0,254.0,44.0208,-1.891063,52.475741,2016-10-08,5,True,11:30,11,30
2016-10-08 12:00:00,1,577.0,306.0,53.0329,-1.891063,52.475741,2016-10-08,5,True,12:00,12,0
2016-10-08 12:30:00,1,577.0,320.0,55.4593,-1.891063,52.475741,2016-10-08,5,True,12:30,12,30
2016-10-08 13:00:00,1,577.0,348.0,60.312,-1.891063,52.475741,2016-10-08,5,True,13:00,13,0
2016-10-08 13:30:00,1,577.0,357.0,61.8718,-1.891063,52.475741,2016-10-08,5,True,13:30,13,30
2016-10-08 14:00:00,1,577.0,395.0,68.4575,-1.891063,52.475741,2016-10-08,5,True,14:00,14,0
2016-10-08 14:30:00,1,577.0,400.0,69.3241,-1.891063,52.475741,2016-10-08,5,True,14:30,14,30
2016-10-08 15:00:00,1,577.0,395.0,68.4575,-1.891063,52.475741,2016-10-08,5,True,15:00,15,0
2016-10-08 15:30:00,1,577.0,406.0,70.364,-1.891063,52.475741,2016-10-08,5,True,15:30,15,30
2016-10-08 16:00:00,1,577.0,381.0,66.0312,-1.891063,52.475741,2016-10-08,5,True,16:00,16,0
2016-10-08 16:30:00,1,577.0,365.0,63.2582,-1.891063,52.475741,2016-10-08,5,True,16:30,16,30
2016-10-09 08:00:00,1,577.0,42.0,7.279,-1.891063,52.475741,2016-10-09,6,True,08:00,8,0
2016-10-09 08:30:00,1,577.0,42.0,7.279,-1.891063,52.475741,2016-10-09,6,True,08:30,8,30
2016-10-09 09:00:00,1,577.0,43.0,7.4523,-1.891063,52.475741,2016-10-09,6,True,09:00,9,0
2016-10-09 09:30:00,1,577.0,43.0,7.4523,-1.891063,52.475741,2016-10-09,6,True,09:30,9,30
2016-10-09 10:00:00,1,577.0,50.0,8.6655,-1.891063,52.475741,2016-10-09,6,True,10:00,10,0
2016-10-09 10:30:00,1,577.0,64.0,11.0919,-1.891063,52.475741,2016-10-09,6,True,10:30,10,30
2016-10-09 11:00:00,1,577.0,100.0,17.331,-1.891063,52.475741,2016-10-09,6,True,11:00,11,0
2016-10-09 11:30:00,1,577.0,126.0,21.8371,-1.891063,52.475741,2016-10-09,6,True,11:30,11,30
2016-10-09 12:00:00,1,577.0,148.0,25.6499,-1.891063,52.475741,2016-10-09,6,True,12:00,12,0
2016-10-09 12:30:00,1,577.0,170.0,29.4627,-1.891063,52.475741,2016-10-09,6,True,12:30,12,30
2016-10-09 13:00:00,1,577.0,189.0,32.7556,-1.891063,52.475741,2016-10-09,6,True,13:00,13,0
2016-10-09 13:30:00,1,577.0,205.0,35.5286,-1.891063,52.475741,2016-10-09,6,True,13:30,13,30
2016-10-09 14:00:00,1,577.0,208.0,36.0485,-1.891063,52.475741,2016-10-09,6,True,14:00,14,0
2016-10-09 14:30:00,1,577.0,209.0,36.2218,-1.891063,52.475741,2016-10-09,6,True,14:30,14,30
2016-10-09 15:00:00,1,577.0,191.0,33.1023,-1.891063,52.475741,2016-10-09,6,True,15:00,15,0
2016-10-09 15:30:00,1,577.0,180.0,31.1958,-1.891063,52.475741,2016-10-09,6,True,15:30,15,30
2016-10-09 16:00:00,1,577.0,155.0,26.8631,-1.891063,52.475741,2016-10-09,6,True,16:00,16,0
2016-10-09 16:30:00,1,577.0,133.0,23.0503,-1.891063,52.475741,2016-10-09,6,True,16:30,16,30
2016-10-10 08:00:00,1,577.0,54.0,9.3588,-1.891063,52.475741,2016-10-10,0,False,08:00,8,0
2016-10-10 08:30:00,1,577.0,56.0,9.7054,-1.891063,52.475741,2016-10-10,0,False,08:30,8,30
2016-10-10 09:00:00,1,577.0,65.0,11.2652,-1.891063,52.475741,2016-10-10,0,False,09:00,9,0
2016-10-10 09:30:00,1,577.0,73.0,12.6516,-1.891063,52.475741,2016-10-10,0,False,09:30,9,30
2016-10-10 10:00:00,1,577.0,92.0,15.9445,-1.891063,52.475741,2016-10-10,0,False,10:00,10,0
2016-10-10 10:30:00,1,577.0,113.0,19.5841,-1.891063,52.475741,2016-10-10,0,False,10:30,10,30
2016-10-10 11:00:00,1,577.0,144.0,24.9567,-1.891063,52.475741,2016-10-10,0,False,11:00,11,0
2016-10-10 11:30:00,1,577.0,149.0,25.8232,-1.891063,52.475741,2016-10-10,0,False,11:30,11,30
2016-10-10 12:00:00,1,577.0,159.0,27.5563,-1.891063,52.475741,2016-10-10,0,False,12:00,12,0
2016-10-10 12:30:00,1,577.0,171.0,29.636,-1.891063,52.475741,2016-10-10,0,False,12:30,12,30
2016-10-10 13:00:00,1,577.0,176.0,30.5026,-1.891063,52.475741,2016-10-10,0,False,13:00,13,0
2016-10-10 13:30:00,1,577.0,172.0,29.8094,-1.891063,52.475741,2016-10-10,0,False,13:30,13,30
2016-10-10 14:00:00,1,577.0,161.0,27.9029,-1.891063,52.475741,2016-10-10,0,False,14:00,14,0
2016-10-10 14:30:00,1,577.0,154.0,26.6898,-1.891063,52.475741,2016-10-10,0,False,14:30,14,30
2016-10-10 15:00:00,1,577.0,137.0,23.7435,-1.891063,52.475741,2016-10-10,0,False,15:00,15,0
2016-10-10 15:30:00,1,577.0,129.0,22.357,-1.891063,52.475741,2016-10-10,0,False,15:30,15,30
2016-10-10 16:00:00,1,577.0,130.0,22.5303,-1.891063,52.475741,2016-10-10,0,False,16:00,16,0
2016-10-10 16:30:00,1,577.0,114.0,19.7574,-1.891063,52.475741,2016-10-10,0,False,16:30,16,30
2016-10-11 08:00:00,1,577.0,56.0,9.7054,-1.891063,52.475741,2016-10-11,1,False,08:00,8,0
2016-10-11 08:30:00,1,577.0,64.0,11.0919,-1.891063,52.475741,2016-10-11,1,False,08:30,8,30
2016-10-11 09:00:00,1,577.0,74.0,12.825,-1.891063,52.475741,2016-10-11,1,False,09:00,9,0
2016-10-11 09:30:00,1,577.0,93.0,16.1179,-1.891063,52.475741,2016-10-11,1,False,09:30,9,30
2016-10-11 10:00:00,1,577.0,129.0,22.357,-1.891063,52.475741,2016-10-11,1,False,10:00,10,0
2016-10-11 10:30:00,1,577.0,167.0,28.9428,-1.891063,52.475741,2016-10-11,1,False,10:30,10,30
2016-10-11 11:00:00,1,577.0,200.0,34.662,-1.891063,52.475741,2016-10-11,1,False,11:00,11,0
2016-10-11 11:30:00,1,577.0,219.0,37.9549,-1.891063,52.475741,2016-10-11,1,False,11:30,11,30
2016-10-11 12:00:00,1,577.0,225.0,38.9948,-1.891063,52.475741,2016-10-11,1,False,12:00,12,0
2016-10-11 12:30:00,1,577.0,221.0,38.3016,-1.891063,52.475741,2016-10-11,1,False,12:30,12,30
2016-10-11 13:00:00,1,577.0,217.0,37.6083,-1.891063,52.475741,2016-10-11,1,False,13:00,13,0
2016-10-11 13:30:00,1,577.0,217.0,37.6083,-1.891063,52.475741,2016-10-11,1,False,13:30,13,30
2016-10-11 14:00:00,1,577.0,208.0,36.0485,-1.891063,52.475741,2016-10-11,1,False,14:00,14,0
2016-10-11 14:30:00,1,577.0,191.0,33.1023,-1.891063,52.475741,2016-10-11,1,False,14:30,14,30
2016-10-11 15:00:00,1,577.0,167.0,28.9428,-1.891063,52.475741,2016-10-11,1,False,15:00,15,0
2016-10-11 15:30:00,1,577.0,159.0,27.5563,-1.891063,52.475741,2016-10-11,1,False,15:30,15,30
2016-10-11 16:00:00,1,577.0,150.0,25.9965,-1.891063,52.475741,2016-10-11,1,False,16:00,16,0
2016-10-11 16:30:00,1,577.0,127.0,22.0104,-1.891063,52.475741,2016-10-11,1,False,16:30,16,30
2016-10-12 08:00:00,1,577.0,51.0,8.8388,-1.891063,52.475741,2016-10-12,2,False,08:00,8,0
2016-10-12 08:30:00,1,577.0,57.0,9.8787,-1.891063,52.475741,2016-10-12,2,False,08:30,8,30
2016-10-12 09:00:00,1,577.0,64.0,11.0919,-1.891063,52.475741,2016-10-12,2,False,09:00,9,0
2016-10-12 09:30:00,1,577.0,73.0,12.6516,-1.891063,52.475741,2016-10-12,2,False,09:30,9,30
2016-10-12 10:00:00,1,577.0,99.0,17.1577,-1.891063,52.475741,2016-10-12,2,False,10:00,10,0
2016-10-12 10:30:00,1,577.0,112.0,19.4107,-1.891063,52.475741,2016-10-12,2,False,10:30,10,30
2016-10-12 11:00:00,1,577.0,127.0,22.0104,-1.891063,52.475741,2016-10-12,2,False,11:00,11,0
2016-10-12 11:30:00,1,577.0,128.0,22.1837,-1.891063,52.475741,2016-10-12,2,False,11:30,11,30
2016-10-12 12:00:00,1,577.0,143.0,24.7834,-1.891063,52.475741,2016-10-12,2,False,12:00,12,0
2016-10-12 12:30:00,1,577.0,158.0,27.383,-1.891063,52.475741,2016-10-12,2,False,12:30,12,30
2016-10-12 13:00:00,1,577.0,157.0,27.2097,-1.891063,52.475741,2016-10-12,2,False,13:00,13,0
2016-10-12 13:30:00,1,577.0,164.0,28.4229,-1.891063,52.475741,2016-10-12,2,False,13:30,13,30
2016-10-12 14:00:00,1,577.0,167.0,28.9428,-1.891063,52.475741,2016-10-12,2,False,14:00,14,0
2016-10-12 14:30:00,1,577.0,159.0,27.5563,-1.891063,52.475741,2016-10-12,2,False,14:30,14,30
2016-10-12 15:00:00,1,577.0,140.0,24.2634,-1.891063,52.475741,2016-10-12,2,False,15:00,15,0
2016-10-12 15:30:00,1,577.0,128.0,22.1837,-1.891063,52.475741,2016-10-12,2,False,15:30,15,30
2016-10-12 16:00:00,1,577.0,121.0,20.9705,-1.891063,52.475741,2016-10-12,2,False,16:00,16,0
2016-10-12 16:30:00,1,577.0,111.0,19.2374,-1.891063,52.475741,2016-10-12,2,False,16:30,16,30
2016-10-13 08:00:00,1,577.0,58.0,10.052,-1.891063,52.475741,2016-10-13,3,False,08:00,8,0
2016-10-13 08:30:00,1,577.0,65.0,11.2652,-1.891063,52.475741,2016-10-13,3,False,08:30,8,30
2016-10-13 09:00:00,1,577.0,76.0,13.1716,-1.891063,52.475741,2016-10-13,3,False,09:00,9,0
2016-10-13 09:30:00,1,577.0,97.0,16.8111,-1.891063,52.475741,2016-10-13,3,False,09:30,9,30
2016-10-13 10:00:00,1,577.0,127.0,22.0104,-1.891063,52.475741,2016-10-13,3,False,10:00,10,0
2016-10-13 10:30:00,1,577.0,166.0,28.7695,-1.891063,52.475741,2016-10-13,3,False,10:30,10,30
2016-10-13 11:00:00,1,577.0,200.0,34.662,-1.891063,52.475741,2016-10-13,3,False,11:00,11,0
2016-10-13 11:30:00,1,577.0,220.0,38.1282,-1.891063,52.475741,2016-10-13,3,False,11:30,11,30
2016-10-13 12:00:00,1,577.0,230.0,39.8614,-1.891063,52.475741,2016-10-13,3,False,12:00,12,0
2016-10-13 12:30:00,1,577.0,231.0,40.0347,-1.891063,52.475741,2016-10-13,3,False,12:30,12,30
2016-10-13 13:00:00,1,577.0,214.0,37.0884,-1.891063,52.475741,2016-10-13,3,False,13:00,13,0
2016-10-13 13:30:00,1,577.0,203.0,35.182,-1.891063,52.475741,2016-10-13,3,False,13:30,13,30
2016-10-13 14:00:00,1,577.0,205.0,35.5286,-1.891063,52.475741,2016-10-13,3,False,14:00,14,0
2016-10-13 14:30:00,1,577.0,181.0,31.3692,-1.891063,52.475741,2016-10-13,3,False,14:30,14,30
2016-10-13 15:00:00,1,577.0,162.0,28.0763,-1.891063,52.475741,2016-10-13,3,False,15:00,15,0
2016-10-13 15:30:00,1,577.0,144.0,24.9567,-1.891063,52.475741,2016-10-13,3,False,15:30,15,30
2016-10-13 16:00:00,1,577.0,132.0,22.8769,-1.891063,52.475741,2016-10-13,3,False,16:00,16,0
2016-10-13 16:30:00,1,577.0,130.0,22.5303,-1.891063,52.475741,2016-10-13,3,False,16:30,16,30
2016-10-14 08:00:00,1,577.0,53.0,9.1854,-1.891063,52.475741,2016-10-14,4,False,08:00,8,0
2016-10-14 08:30:00,1,577.0,57.0,9.8787,-1.891063,52.475741,2016-10-14,4,False,08:30,8,30
2016-10-14 09:00:00,1,577.0,67.0,11.6118,-1.891063,52.475741,2016-10-14,4,False,09:00,9,0
2016-10-14 09:30:00,1,577.0,100.0,17.331,-1.891063,52.475741,2016-10-14,4,False,09:30,9,30
2016-10-14 10:00:00,1,577.0,134.0,23.2236,-1.891063,52.475741,2016-10-14,4,False,10:00,10,0
2016-10-14 10:30:00,1,577.0,157.0,27.2097,-1.891063,52.475741,2016-10-14,4,False,10:30,10,30
2016-10-14 11:00:00,1,577.0,205.0,35.5286,-1.891063,52.475741,2016-10-14,4,False,11:00,11,0
2016-10-14 11:30:00,1,577.0,220.0,38.1282,-1.891063,52.475741,2016-10-14,4,False,11:30,11,30
2016-10-14 12:00:00,1,577.0,224.0,38.8215,-1.891063,52.475741,2016-10-14,4,False,12:00,12,0
2016-10-14 12:30:00,1,577.0,213.0,36.9151,-1.891063,52.475741,2016-10-14,4,False,12:30,12,30
2016-10-14 13:00:00,1,577.0,205.0,35.5286,-1.891063,52.475741,2016-10-14,4,False,13:00,13,0
2016-10-14 13:30:00,1,577.0,201.0,34.8354,-1.891063,52.475741,2016-10-14,4,False,13:30,13,30
2016-10-14 14:00:00,1,577.0,182.0,31.5425,-1.891063,52.475741,2016-10-14,4,False,14:00,14,0
2016-10-14 14:30:00,1,577.0,174.0,30.156,-1.891063,52.475741,2016-10-14,4,False,14:30,14,30
2016-10-14 15:00:00,1,577.0,171.0,29.636,-1.891063,52.475741,2016-10-14,4,False,15:00,15,0
2016-10-14 15:30:00,1,577.0,161.0,27.9029,-1.891063,52.475741,2016-10-14,4,False,15:30,15,30
2016-10-14 16:00:00,1,577.0,138.0,23.9168,-1.891063,52.475741,2016-10-14,4,False,16:00,16,0
2016-10-14 16:30:00,1,577.0,134.0,23.2236,-1.891063,52.475741,2016-10-14,4,False,16:30,16,30
2016-10-15 08:00:00,1,577.0,53.0,9.1854,-1.891063,52.475741,2016-10-15,5,True,08:00,8,0
2016-10-15 08:30:00,1,577.0,63.0,10.9185,-1.891063,52.475741,2016-10-15,5,True,08:30,8,30
2016-10-15 09:00:00,1,577.0,77.0,13.3449,-1.891063,52.475741,2016-10-15,5,True,09:00,9,0
2016-10-15 09:30:00,1,577.0,101.0,17.5043,-1.891063,52.475741,2016-10-15,5,True,09:30,9,30
2016-10-15 10:00:00,1,577.0,154.0,26.6898,-1.891063,52.475741,2016-10-15,5,True,10:00,10,0
2016-10-15 10:30:00,1,577.0,171.0,29.636,-1.891063,52.475741,2016-10-15,5,True,10:30,10,30
2016-10-15 11:00:00,1,577.0,211.0,36.5685,-1.891063,52.475741,2016-10-15,5,True,11:00,11,0
2016-10-15 11:30:00,1,577.0,239.0,41.4211,-1.891063,52.475741,2016-10-15,5,True,11:30,11,30
2016-10-15 12:00:00,1,577.0,276.0,47.8336,-1.891063,52.475741,2016-10-15,5,True,12:00,12,0
2016-10-15 12:30:00,1,577.0,297.0,51.4731,-1.891063,52.475741,2016-10-15,5,True,12:30,12,30
2016-10-15 13:00:00,1,577.0,332.0,57.539,-1.891063,52.475741,2016-10-15,5,True,13:00,13,0
2016-10-15 13:30:00,1,577.0,352.0,61.0052,-1.891063,52.475741,2016-10-15,5,True,13:30,13,30
2016-10-15 14:00:00,1,577.0,391.0,67.7643,-1.891063,52.475741,2016-10-15,5,True,14:00,14,0
2016-10-15 14:30:00,1,577.0,409.0,70.8839,-1.891063,52.475741,2016-10-15,5,True,14:30,14,30
2016-10-15 15:00:00,1,577.0,442.0,76.6031,-1.891063,52.475741,2016-10-15,5,True,15:00,15,0
2016-10-15 15:30:00,1,577.0,428.0,74.1768,-1.891063,52.475741,2016-10-15,5,True,15:30,15,30
2016-10-15 16:00:00,1,577.0,412.0,71.4038,-1.891063,52.475741,2016-10-15,5,True,16:00,16,0
2016-10-15 16:30:00,1,577.0,393.0,68.1109,-1.891063,52.475741,2016-10-15,5,True,16:30,16,30
2016-10-16 08:00:00,1,577.0,48.0,8.3189,-1.891063,52.475741,2016-10-16,6,True,08:00,8,0
2016-10-16 08:30:00,1,577.0,48.0,8.3189,-1.891063,52.475741,2016-10-16,6,True,08:30,8,30
2016-10-16 09:00:00,1,577.0,55.0,9.5321,-1.891063,52.475741,2016-10-16,6,True,09:00,9,0
2016-10-16 09:30:00,1,577.0,57.0,9.8787,-1.891063,52.475741,2016-10-16,6,True,09:30,9,30
2016-10-16 10:00:00,1,577.0,57.0,9.8787,-1.891063,52.475741,2016-10-16,6,True,10:00,10,0
2016-10-16 10:30:00,1,577.0,56.0,9.7054,-1.891063,52.475741,2016-10-16,6,True,10:30,10,30
2016-10-16 11:00:00,1,577.0,56.0,9.7054,-1.891063,52.475741,2016-10-16,6,True,11:00,11,0
2016-10-16 11:30:00,1,577.0,56.0,9.7054,-1.891063,52.475741,2016-10-16,6,True,11:30,11,30
2016-10-16 12:00:00,1,577.0,65.0,11.2652,-1.891063,52.475741,2016-10-16,6,True,12:00,12,0
2016-10-16 12:30:00,1,577.0,105.0,18.1976,-1.891063,52.475741,2016-10-16,6,True,12:30,12,30
2016-10-16 13:00:00,1,577.0,131.0,22.7036,-1.891063,52.475741,2016-10-16,6,True,13:00,13,0
2016-10-16 13:30:00,1,577.0,146.0,25.3033,-1.891063,52.475741,2016-10-16,6,True,13:30,13,30
2016-10-16 14:00:00,1,577.0,170.0,29.4627,-1.891063,52.475741,2016-10-16,6,True,14:00,14,0
2016-10-16 14:30:00,1,577.0,180.0,31.1958,-1.891063,52.475741,2016-10-16,6,True,14:30,14,30
2016-10-16 15:00:00,1,577.0,192.0,33.2756,-1.891063,52.475741,2016-10-16,6,True,15:00,15,0
2016-10-16 15:30:00,1,577.0,185.0,32.0624,-1.891063,52.475741,2016-10-16,6,True,15:30,15,30
2016-10-16 16:00:00,1,577.0,173.0,29.9827,-1.891063,52.475741,2016-10-16,6,True,16:00,16,0
2016-10-16 16:30:00,1,577.0,154.0,26.6898,-1.891063,52.475741,2016-10-16,6,True,16:30,16,30
2016-10-17 08:00:00,1,577.0,50.0,8.6655,-1.891063,52.475741,2016-10-17,0,False,08:00,8,0
2016-10-17 08:30:00,1,577.0,54.0,9.3588,-1.891063,52.475741,2016-10-17,0,False,08:30,8,30
2016-10-17 09:00:00,1,577.0,66.0,11.4385,-1.891063,52.475741,2016-10-17,0,False,09:00,9,0
2016-10-17 09:30:00,1,577.0,76.0,13.1716,-1.891063,52.475741,2016-10-17,0,False,09:30,9,30
2016-10-17 10:00:00,1,577.0,112.0,19.4107,-1.891063,52.475741,2016-10-17,0,False,10:00,10,0
